speed_Mbps,price_NTD
1.5,0.0003802083333333333
0.1,1.7303703703703704e-05
0.15,2.0764444444444443e-05
0.5,9.517037037037037e-05
1.0,0.00019034074074074074
1.5,0.0002855111111111111
0.1,5.309629629629631e-06
0.15,7.964444444444445e-06
0.5,2.6548148148148152e-05
1.0,6.637037037037038e-05
1.5,9.955555555555556e-05
0.1,1.555555555555556e-06
0.15,2.9166666666666674e-06
0.5,7.77777777777778e-06
1.0,1.944444444444445e-05
1.5,2.9166666666666673e-05
0.1,8.849382716049384e-06
0.15,1.4601481481481483e-05
0.5,4.867160493827161e-05
1.0,8.849382716049383e-05
1.5,0.00013274074074074075
0.1,6.481481481481483e-07
0.15,8.750000000000002e-07
0.5,2.9166666666666674e-06
1.0,6.481481481481483e-06
1.5,9.722222222222224e-06
0.1,5.309629629629631e-06
0.15,9.955555555555556e-06
0.5,2.6548148148148152e-05
1.0,5.3096296296296303e-05
1.5,9.955555555555556e-05
